titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
Otogi Zoshi: The Legend of Magatama;Otogizoushi;7/7/2004;30/3/2005;TV;['Adventure', 'Drama', 'Fantasy', 'Supernatural'];3035;60;images\525.png
Please Save My Earth;Boku no Chikyuu wo Mamotte;17/12/1993;23/9/1994;OVA;['Drama', 'Romance', 'Sci-Fi'];5286;64;images\526.png
Pokémon;Pocket Monsters;1/4/1997;14/11/2002;TV;['Adventure', 'Comedy', 'Fantasy'];99794;72;images\527.png
Pokémon: The First Movie;Pocket Monsters: Mewtwo no Gyakushuu;18/7/1998;18/7/1998;MOVIE;['Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];45012;74;images\528.png
She, The Ultimate Weapon;Saishuu Heiki Kanojo;2/7/2002;24/9/2002;TV;['Drama', 'Romance', 'Sci-Fi'];15011;65;images\529.png
Sailor Moon;Bishoujo Senshi Sailor Moon;7/3/1992;27/2/1993;TV;['Action', 'Adventure', 'Fantasy', 'Mahou Shoujo', 'Romance'];74536;75;images\530.png
Sailor Moon R: The Movie;Bishoujo Senshi Sailor Moon R: THE MOVIE;5/12/1993;5/12/1993;MOVIE;['Action', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance'];10473;73;images\531.png
Sailor Moon S;Bishoujo Senshi Sailor Moon S;19/3/1994;25/2/1995;TV;['Action', 'Adventure', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance'];23733;77;images\532.png
Teacher's Time;Sensei no Ojikan: Doki Doki School Hours;5/4/2004;28/6/2004;TV;['Comedy', 'Slice of Life'];1536;57;images\533.png
The Slayers;Slayers;7/4/1995;29/9/1995;TV;['Adventure', 'Comedy', 'Fantasy'];21447;73;images\534.png
The Slayers Next;Slayers NEXT;5/4/1996;27/9/1996;TV;['Adventure', 'Comedy', 'Fantasy'];9290;77;images\535.png
Tekken: The Motion Picture;Tekken;21/1/1998;21/1/1998;OVA;['Action', 'Adventure', 'Sci-Fi', 'Sports'];2589;46;images\537.png
Tenchi in Tokyo;Shin Tenchi Muyou!;1/4/1997;23/9/1997;TV;['Comedy', 'Romance', 'Sci-Fi'];4608;64;images\538.png
Tenchi Muyou! Ryououki Dai 1-ki;Tenchi Muyou! Ryououki Dai 1-ki;25/9/1992;25/3/1993;OVA;['Action', 'Comedy', 'Sci-Fi'];8061;72;images\539.png
