titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
Eight Clouds Rising;Yakumo Tatsu;25/10/1997;25/11/1997;OVA;['Action', 'Adventure', 'Drama', 'Horror', 'Psychological', 'Supernatural'];962;52;images\1026.png
;Psychic Force;25/5/1998;25/5/1998;OVA;['Action', 'Adventure', 'Sci-Fi'];605;45;images\1027.png
Princess Arete;Arete-hime;21/7/2001;21/7/2001;MOVIE;['Adventure', 'Fantasy'];3710;65;images\1028.png
Only Yesterday;Omoide Poro Poro;20/7/1991;20/7/1991;MOVIE;['Drama', 'Romance', 'Slice of Life'];32174;73;images\1029.png
Pom Poko;Heisei Tanuki Gassen Ponpoko;13/6/1994;13/6/1994;MOVIE;['Comedy', 'Drama', 'Fantasy'];21784;70;images\1030.png
;Yonna in the Solitary Fortress;8/4/2006;8/4/2006;MOVIE;['Adventure', 'Fantasy'];482;40;images\1031.png
Like the Clouds, Like the Wind;Kumo no You ni Kaze no You ni;21/3/1990;21/3/1990;MOVIE;['Action', 'Adventure', 'Drama', 'Romance'];2242;62;images\1032.png
Millennium Actress;Sennen Joyuu;14/9/2002;14/9/2002;MOVIE;['Drama', 'Fantasy', 'Romance'];44016;81;images\1033.png
Royal Space Force: The Wings of Honnêamise;Ouritsu Uchuugun: Honneamise no Tsubasa;14/3/1987;14/3/1987;MOVIE;['Action', 'Drama', 'Sci-Fi'];10860;72;images\1034.png
;Patalliro Saiyuki!;6/6/2005;29/11/2005;TV_SHORT;['Adventure', 'Comedy', 'Fantasy'];756;53;images\1035.png
;Kashou no Tsuki: Aki Kyougen;19/12/1998;21/1/1999;OVA;['Fantasy', 'Romance', 'Supernatural'];683;49;images\1036.png
;Mizuiro;23/8/2002;6/12/2002;OVA;['Hentai'];451;46;images\1038.png
;Mizuiro (2003);25/4/2003;10/7/2003;OVA;['Drama', 'Romance', 'Supernatural'];971;55;images\1039.png
;Mizuiro Jidai;4/4/1996;27/2/1997;TV;['Romance', 'Slice of Life'];1188;58;images\1040.png
;Zetsuai 1989;29/7/1992;29/7/1992;OVA;['Drama', 'Music', 'Romance', 'Sports'];1897;52;images\1041.png
;BRONZE: ZETSUAI since 1989;4/12/1996;4/12/1996;OVA;['Drama', 'Music', 'Romance', 'Sports'];1379;50;images\1042.png
;Tokyo BABYLON;21/10/1992;21/3/1994;OVA;['Action', 'Mystery', 'Supernatural'];4057;61;images\1043.png
The Little Norse Prince;Taiyou no Ouji: Horus no Daibouken;21/7/1968;21/7/1968;MOVIE;['Action', 'Adventure', 'Drama', 'Fantasy'];2649;61;images\1044.png
Those Who Hunt Elves;Elf wo Karu Mono-tachi;4/10/1996;20/12/1996;TV;['Adventure', 'Comedy', 'Ecchi', 'Fantasy'];4549;64;images\1045.png
Those Who Hunt Elves II;Elf wo Karu Mono-tachi II;1/10/1997;24/12/1997;TV;['Adventure', 'Comedy', 'Fantasy'];1974;64;images\1046.png
On Your Mark;On Your Mark: CHAGE & ASKA;15/7/1995;15/7/1995;MUSIC;['Drama', 'Sci-Fi'];8679;71;images\1047.png
Gauche the Cellist;Cello Hiki no Gauche;23/1/1982;23/1/1982;MOVIE;['Comedy', 'Drama', 'Fantasy', 'Music'];4529;65;images\1049.png
Bobobo-bo Bo-bobo;Bobobo-bo Bo-bobo;8/11/2003;30/9/2005;TV;['Adventure', 'Comedy', 'Sci-Fi'];15243;71;images\1050.png
Blue Submarine No. 6;Ao no 6-gou;25/10/1998;25/3/2000;OVA;['Action', 'Adventure', 'Mecha', 'Sci-Fi'];9816;65;images\1051.png
Ten Tokyo Warriors;Tokyo Juushouden;23/7/1999;25/1/2000;OVA;['Action', 'Adventure', 'Supernatural'];550;44;images\1052.png
;BLAME! Ver.0.11;24/10/2003;24/10/2003;ONA;['Action', 'Mecha', 'Sci-Fi'];5681;52;images\1055.png
;Good Morning Call;2/8/2001;2/8/2001;OVA;['Comedy', 'Drama', 'Romance'];1126;53;images\1056.png
;Ippatsu Kiki Musume;5/10/1999;29/10/1999;TV_SHORT;['Action', 'Comedy', 'Ecchi'];1538;55;images\1057.png
;Kidou Shinsengumi Moeyo Ken;19/11/2003;18/2/2004;OVA;['Adventure', 'Comedy'];453;46;images\1058.png
;Mutant Ninja Turtles: Superman Legend;21/5/1996;21/5/1996;OVA;['Adventure', 'Comedy', 'Sci-Fi'];720;44;images\1059.png
;Oruchuban Ebichu;1/8/1999;1/10/1999;TV_SHORT;['Comedy', 'Ecchi', 'Slice of Life'];9275;67;images\1060.png
;Nekojiru Gekijou Jirujiru ORIGINAL;9/7/1999;1/10/1999;TV_SHORT;['Action', 'Comedy'];2592;57;images\1062.png
Mazinkaiser;Mazinkaiser;25/9/2001;20/9/2002;OVA;['Adventure', 'Comedy', 'Mecha', 'Sci-Fi'];3169;70;images\1064.png
;Touch;24/3/1985;22/3/1987;TV;['Drama', 'Romance', 'Slice of Life', 'Sports'];8930;77;images\1065.png
Shakugan no Shana Specials;Shakugan no Shana Specials;25/1/2006;4/4/2007;SPECIAL;['Comedy'];5348;65;images\1066.png
Roar of the Machine God Demonbane (2006);Kishin Houkou Demonbane (2006);19/5/2006;18/8/2006;TV;['Action', 'Ecchi', 'Mecha', 'Romance'];4539;58;images\1067.png
Combattler V;Chou Denji Robo Combattler V;17/4/1976;28/5/1977;TV;['Adventure', 'Mecha', 'Sci-Fi'];1344;58;images\1068.png
VOLTES V;Chou Denji Machine Voltes V;4/6/1977;25/3/1978;TV;['Adventure', 'Drama', 'Mecha', 'Sci-Fi'];1935;66;images\1069.png
;Love Get CHU: Miracle Seiyuu Hakusho;5/4/2006;27/9/2006;TV;['Comedy', 'Romance'];1405;55;images\1070.png
;Memories Off 5: Togireta Film THE ANIMATION;29/3/2006;29/3/2006;OVA;['Drama', 'Romance'];739;49;images\1071.png
Sweat Punch;Sweat Punch;2/3/2002;1/7/2006;OVA;['Action', 'Fantasy', 'Horror', 'Mecha', 'Music', 'Sci-Fi'];5639;64;images\1072.png
;NARUTO: Narutimate Hero 3: Tsui ni Gekitotsu! Jounin VS Genin!! Musabetsu Dairansen Taikai Kaisai!!;22/12/2005;22/12/2005;OVA;['Adventure', 'Comedy'];11823;63;images\1074.png
;Netrun-mon THE MOVIE;24/11/2004;24/11/2004;OVA;['Comedy'];752;46;images\1075.png
;Wizardry;21/2/1991;21/2/1991;OVA;['Action', 'Adventure', 'Fantasy'];862;50;images\1076.png
Cardcaptor Sakura: Leave it to Kero!;Cardcaptor Sakura: Kero-chan ni Omakase!;15/7/2000;15/7/2000;SPECIAL;['Comedy'];5453;68;images\1078.png
Yukikaze;Sentou Yousei Yukikaze;25/8/2002;26/8/2005;OVA;['Action', 'Drama', 'Psychological', 'Sci-Fi'];3651;67;images\1080.png
;SPACE PIRATE CAPTAIN HERLOCK: OUTSIDE LEGEND - The Endless Odyssey;21/12/2002;21/12/2003;OVA;['Action', 'Sci-Fi'];1702;66;images\1081.png
Daphne in the Brilliant Blue;Hikari to Mizu no Daphne;16/1/2004;3/7/2004;TV;['Comedy', 'Drama', 'Mystery', 'Psychological', 'Sci-Fi'];2453;61;images\1082.png
Human Crossing;Ningen Kousaten;5/4/2003;28/6/2003;TV;['Drama', 'Slice of Life'];1131;56;images\1083.png
I''s;I''s;9/12/2002;19/3/2003;OVA;['Drama', 'Romance'];1764;53;images\1084.png
Interlude;Interlude;25/3/2004;27/8/2004;OVA;['Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi'];2500;54;images\1085.png
Mars Daybreak;Kenran Butou Sai: The Mars Daybreak;1/4/2004;23/9/2004;TV;['Adventure', 'Comedy', 'Mecha', 'Romance', 'Sci-Fi'];3366;65;images\1086.png
Macross;Choujikuu Yousai Macross;3/10/1982;26/6/1983;TV;['Action', 'Drama', 'Mecha', 'Music', 'Romance', 'Sci-Fi'];21797;75;images\1088.png
Macross: Do You Remember Love?;Choujikuu Yousai Macross: Ai Oboete Imasu ka;7/7/1984;7/7/1984;MOVIE;['Action', 'Mecha', 'Music', 'Romance', 'Sci-Fi'];11437;77;images\1089.png
Mobile Suit Gundam I;Kidou Senshi Gundam I;14/3/1981;14/3/1981;MOVIE;['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi'];11925;70;images\1090.png
Mobile Suit Gundam II: Soldiers of Sorrow;Kidou Senshi Gundam II: Ai Senshi-hen;11/7/1981;11/7/1981;MOVIE;['Action', 'Drama', 'Mecha', 'Sci-Fi'];9393;70;images\1091.png
Mobile Suit Gundam III: Encounters in Space;Kidou Senshi Gundam III: Meguriai Sora-hen;13/3/1982;13/3/1982;MOVIE;['Action', 'Drama', 'Mecha', 'Sci-Fi'];9194;75;images\1092.png
;Oishinbo;17/10/1988;17/3/1992;TV;['Comedy'];1472;62;images\1093.png
One Piece: Umi no Heso no Daibouken-hen;ONE PIECE TV Special: Umi no Heso no Daibouken-hen;20/12/2000;20/12/2000;SPECIAL;['Adventure', 'Comedy', 'Fantasy'];7076;67;images\1094.png
Patlabor: The Movie;Kidou Keisatsu Patlabor: The Movie;15/7/1989;15/7/1989;MOVIE;['Drama', 'Mecha', 'Sci-Fi'];12011;75;images\1095.png
Mobile Police Patlabor 2: The Movie;Kidou Keisatsu Patlabor 2: the Movie;7/8/1993;7/8/1993;MOVIE;['Drama', 'Mecha', 'Mystery', 'Sci-Fi'];9623;80;images\1096.png
;Lime-iro Senkitan;4/1/2003;29/3/2003;TV;['Comedy', 'Ecchi', 'Mecha', 'Supernatural'];1909;51;images\1097.png
Samurai Girl Real Bout High School;SAMURAI GIRL Real Bout High School;30/7/2001;22/10/2001;TV;['Adventure', 'Comedy', 'Fantasy'];1409;51;images\1098.png
;SHADOW SKILL: Kurudaryuu Kousatsuhou no Himitsu;10/2/2004;10/2/2004;OVA;['Adventure', 'Drama', 'Fantasy'];417;45;images\1099.png
Starship Girl Yamamoto Yohko;Soreyuke! Uchuu Senkan Yamamoto Yohko;6/3/1996;5/6/1996;OVA;['Adventure', 'Comedy', 'Sci-Fi'];1749;55;images\1100.png
Tenchi the Movie 2: The Daughter of Darkness;Tenchi Muyou! Manatsu no Eve;2/8/1997;2/8/1997;MOVIE;['Action', 'Comedy', 'Sci-Fi'];2182;65;images\1101.png
;Urda;5/1/2002;5/1/2003;ONA;['Action', 'Sci-Fi'];840;37;images\1102.png
Marriage of God & Soul Godannar!!;Shinkon Gattai Godannar;1/10/2003;24/12/2003;TV;['Comedy', 'Ecchi', 'Mecha', 'Romance', 'Sci-Fi'];3918;62;images\1103.png
;Shinkon Gattai Godannar!! SECOND SEASON;5/4/2004;27/6/2004;TV;['Comedy', 'Ecchi', 'Mecha', 'Romance', 'Sci-Fi'];1489;64;images\1104.png
;Digital Juice;25/1/2002;25/1/2002;OVA;['Comedy', 'Fantasy', 'Psychological', 'Romance', 'Sci-Fi'];1748;48;images\1105.png
Eternal Family;Eikyuu Kazoku;1/4/1997;1/4/1997;MOVIE;['Comedy', 'Psychological'];2586;53;images\1106.png
Wicked City;Youjuu Toshi;25/4/1987;25/4/1987;MOVIE;['Action', 'Adventure', 'Drama', 'Ecchi', 'Horror', 'Supernatural'];12061;60;images\1107.png
Soul Hunter;Senkaiden Houshin Engi;3/7/1999;25/12/1999;TV;['Adventure', 'Fantasy', 'Supernatural'];2632;63;images\1108.png
;Mermaid Melody: Pichi Pichi Pitch Pure;5/4/2004;25/12/2004;TV;['Adventure', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Music', 'Romance'];7186;70;images\1110.png
;Vandread Gekitou-hen;25/10/2002;25/10/2002;OVA;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Mecha', 'Sci-Fi'];1182;61;images\1111.png
;Vandread Taidouhen;21/1/2001;21/1/2001;OVA;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Mecha', 'Sci-Fi'];1217;58;images\1112.png
;ONE: Kagayaku Kisetsu e - True Stories;21/11/2003;28/5/2004;OVA;['Hentai', 'Romance'];612;53;images\1113.png
;Handsome na Kanojo;21/1/1992;21/1/1992;OVA;['Romance'];1297;49;images\1115.png
;Junkers Come Here;18/3/1995;18/3/1995;MOVIE;['Drama', 'Fantasy', 'Slice of Life'];2300;67;images\1116.png
Pokémon the Movie 2000;Pocket Monsters: Maboroshi no Pokémon Lugia Bakutan;17/7/1999;17/7/1999;MOVIE;['Adventure', 'Drama', 'Fantasy'];33693;70;images\1117.png
Pokémon 3: The Movie;Pocket Monsters: Kesshoutou no Teiou ENTEI;8/7/2000;8/7/2000;MOVIE;['Adventure', 'Drama', 'Fantasy'];31679;68;images\1118.png
Pokémon 4Ever;Pocket Monsters: Celebi Toki wo Koeta Deai;7/7/2001;7/7/2001;MOVIE;['Adventure', 'Comedy', 'Drama', 'Fantasy'];28800;66;images\1119.png
Pokémon Heroes;Pocket Monsters: Mizu no Miyako no Mamorigami Latias to Latios;13/7/2002;13/7/2002;MOVIE;['Adventure', 'Comedy', 'Drama'];24168;69;images\1120.png
Pokémon: Jirachi Wish Maker;Pocket Monsters Advanced Generation: Nanayo no Negaiboshi Jirachi;19/7/2003;19/7/2003;MOVIE;['Adventure', 'Comedy', 'Drama', 'Fantasy'];19818;64;images\1121.png
Pokémon: Destiny Deoxys;Pocket Monsters Advanced Generation: Rekkuu no Houmonsha Deoxys;17/7/2004;17/7/2004;MOVIE;['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural'];22621;66;images\1122.png
Beet the Vandel Buster Excellion;Bouken Ou Beet Excellion;6/10/2005;30/3/2006;TV;['Adventure', 'Fantasy', 'Supernatural'];978;59;images\1123.png
;Figure 17: Tsubasa & Hikaru;27/5/2001;26/5/2002;TV;['Sci-Fi', 'Slice of Life'];3478;68;images\1126.png
UFO Ultramaiden Valkyrie;UFO Princess Valkyrie;4/7/2002;19/9/2002;TV;['Comedy', 'Ecchi', 'Sci-Fi'];3298;61;images\1127.png
UFO Ultramaiden Valkyrie 2: December Nocturne;UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku;4/10/2003;20/12/2003;TV;['Comedy', 'Romance', 'Sci-Fi'];1455;62;images\1128.png
UFO Princess Valkyrie Special: Bridal Training;UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou;23/8/2003;23/8/2003;SPECIAL;['Comedy', 'Ecchi', 'Romance', 'Sci-Fi'];678;59;images\1129.png
Once Upon A Time;Windaria;19/7/1986;19/7/1986;MOVIE;['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi'];2266;59;images\1130.png
;Digimon Frontier;7/4/2002;30/3/2003;TV;['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];21842;68;images\1132.png
;Tenchi Muyou! GXP;2/4/2002;25/9/2002;TV;['Action', 'Comedy', 'Mecha', 'Sci-Fi'];3964;65;images\1133.png
Munto 2: Beyond the Walls of Time;MUNTO: Toki no Kabe wo Koete;29/4/2005;29/4/2005;OVA;['Action', 'Fantasy'];2081;60;images\1135.png
;Betterman;2/4/1999;1/10/1999;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Horror', 'Mecha', 'Mystery', 'Sci-Fi'];3369;61;images\1136.png
Shinzo;Mushrambo;5/2/2000;23/9/2000;TV;['Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];2403;63;images\1137.png
Medabots;Medarot;2/7/1999;30/6/2000;TV;['Action', 'Adventure', 'Comedy', 'Sci-Fi'];9719;67;images\1138.png
;Monkey Magic;20/9/1998;13/12/1998;TV;['Adventure', 'Fantasy'];285;44;images\1139.png
Origin: Spirits of the Past;Giniro no Kami no Agito;7/1/2006;7/1/2006;MOVIE;['Adventure', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi'];11746;64;images\1140.png
A Tree of Palme;Palme no Ki;16/3/2002;16/3/2002;MOVIE;['Adventure', 'Drama', 'Fantasy', 'Romance'];2463;61;images\1141.png
Honey and Clover II;Hachimitsu to Clover II;30/6/2006;15/9/2006;TV;['Drama', 'Romance', 'Slice of Life'];15875;79;images\1142.png
;.hack//INTERMEZZO;None/None/2003;None/None/2003;SPECIAL;['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi'];3621;60;images\1143.png
Kaze no Yojimbo;Kaze no Youjinbou;2/10/2001;26/3/2002;TV;['Adventure', 'Drama', 'Mystery', 'Slice of Life'];2987;62;images\1145.png
;Tenchi Muyou! Ryououki Omatsuri Zenya no Yoru!;25/9/1993;25/9/1993;OVA;['Comedy', 'Romance', 'Sci-Fi'];3110;68;images\1146.png
Tenchi Muyo! Ryo Ohki: Final Confrontations;Tenchi Muyou! Ryououki Dai 3-ki Plus 1;14/9/2005;14/9/2005;OVA;['Action', 'Comedy', 'Sci-Fi'];2000;65;images\1147.png
Doomed Megalopolis;Teito Monogatari;27/9/1991;25/9/1992;OVA;['Horror', 'Supernatural'];2795;52;images\1148.png
Super Heavy God Gravion Zwei;Choujuushin Gravion Zwei;8/1/2004;25/3/2004;TV;['Adventure', 'Comedy', 'Mecha', 'Sci-Fi'];1611;60;images\1149.png
New Dominion Tank Police;Tokusou Sensha-tai Dominion;20/10/1993;21/10/1994;OVA;['Comedy', 'Mecha', 'Sci-Fi'];2297;64;images\1152.png
E.Y.E.S. of Mars;MOTHER: Saigo no Shoujo Eve;26/12/1993;26/12/1993;MOVIE;['Adventure', 'Drama', 'Sci-Fi'];320;42;images\1154.png
;Melty Lancer THE ANIMATION;25/5/1999;25/5/2000;OVA;['Adventure', 'Comedy', 'Sci-Fi'];749;49;images\1155.png
;i -wish you were here-: Anata ga Koko ni Itehoshii;4/10/2001;24/11/2001;TV;['Action', 'Drama', 'Mystery', 'Romance', 'Sci-Fi'];1790;51;images\1156.png
;Final Fantasy: Unlimited;2/10/2001;26/3/2002;TV;['Action', 'Adventure', 'Fantasy', 'Sci-Fi'];4272;56;images\1157.png
Geobreeders: (File-X) Get Back The Kitty;Geobreeders: File-X Chibi Neko Dakkan;21/5/1998;21/10/1998;OVA;['Adventure', 'Comedy', 'Supernatural'];847;55;images\1158.png
Geobreeders: Breakthrough;Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa;26/7/2000;23/3/2001;OVA;['Adventure', 'Comedy', 'Supernatural'];506;53;images\1159.png
;Gundress;20/3/1999;20/3/1999;MOVIE;['Sci-Fi'];941;45;images\1160.png
MAZE (TV);MAZE☆Bakunetsu Jikuu (TV);3/4/1997;25/9/1997;TV;['Adventure', 'Comedy', 'Fantasy', 'Mecha'];1366;58;images\1161.png
MAZE;MAZE☆Bakunetsu Jikuu;24/7/1996;21/9/1996;OVA;['Adventure', 'Comedy', 'Fantasy', 'Mecha'];798;51;images\1162.png
;Neo Ranga;6/4/1998;28/9/1999;TV_SHORT;['Adventure', 'Horror', 'Mecha'];4239;61;images\1163.png
Rune Soldier;Mahou Senshi Louie;3/4/2001;18/9/2001;TV;['Adventure', 'Comedy', 'Fantasy'];3220;66;images\1164.png
Sakura Wars: The Gorgeous Blooming Cherry Blossoms ;Sakura Taisen: Ouka Kenran;18/12/1997;18/12/1997;OVA;['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi'];1928;60;images\1165.png
Sakura Wars: The Radiant Gorgeous Blooming Cherry Blossoms;Sakura Taisen: Gouka Kenran;18/12/1999;18/12/1999;OVA;['Adventure', 'Mecha', 'Romance', 'Sci-Fi'];1327;60;images\1166.png
;Samurai Gun;4/10/2004;21/12/2004;TV;['Action', 'Sci-Fi'];1465;50;images\1167.png
Irresponsible Captain Tylor OVA;Musekinin Kanchou Tylor OVA;1/10/1994;1/8/1996;OVA;['Adventure', 'Comedy', 'Drama', 'Sci-Fi'];1864;66;images\1168.png
Green Legend Ran;Green Legend Ran;25/11/1992;25/3/1993;OVA;['Adventure', 'Drama', 'Sci-Fi'];1513;57;images\1169.png
Slayers: The Book of Spells;Slayers Special;25/7/1996;25/5/1997;OVA;['Adventure', 'Comedy', 'Fantasy', 'Supernatural'];3388;68;images\1170.png
;Slayers Excellent;25/10/1998;25/3/1999;OVA;['Adventure', 'Comedy', 'Fantasy', 'Supernatural'];3441;68;images\1171.png
The Slayers Try;Slayers TRY;4/4/1997;26/9/1997;TV;['Adventure', 'Comedy', 'Fantasy'];7089;74;images\1172.png
Munto;MUNTO;18/3/2003;18/3/2003;OVA;['Fantasy', 'Romance'];3674;58;images\1174.png
;Metal Fighter MIKU;8/7/1994;30/9/1994;TV;['Comedy', 'Sci-Fi', 'Sports'];1347;51;images\1175.png
Mask of Zeguy;Unkai no Meikyuu ZEGUY;21/3/1993;21/5/1993;OVA;['Action', 'Adventure', 'Fantasy'];721;48;images\1176.png
;Alien 9;25/6/2001;25/2/2002;OVA;['Drama', 'Horror', 'Psychological', 'Sci-Fi', 'Slice of Life'];11751;67;images\1177.png
;Detonator Orgun;25/8/1991;25/8/1991;OVA;['Adventure', 'Mecha', 'Sci-Fi'];1810;56;images\1178.png
Shingu: Secret of the Stellar Wars;Gakuen Senki Muryou;8/5/2001;4/12/2001;TV;['Adventure', 'Mecha', 'Sci-Fi', 'Supernatural'];1735;62;images\1179.png
;Hyper Police;3/4/1997;25/9/1997;TV;['Action', 'Comedy', 'Fantasy', 'Sci-Fi'];2095;60;images\1180.png
Shamanic Princess;Shamanic Princess;25/6/1996;25/6/1998;OVA;['Action', 'Fantasy', 'Mahou Shoujo', 'Romance'];3158;59;images\1182.png
;Lost Universe;3/4/1998;25/9/1998;TV;['Adventure', 'Comedy', 'Drama', 'Sci-Fi'];2985;63;images\1184.png
Battle Athletes;Battle Athletess Daiundoukai;25/5/1997;25/6/1998;OVA;['Action', 'Comedy', 'Ecchi', 'Sci-Fi', 'Sports'];1379;56;images\1185.png
Battle Athletes Victory;Battle Athletess Daiundoukai (TV);3/10/1997;27/3/1998;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Sports'];1943;60;images\1186.png
;DNA² OVA;21/2/1995;25/6/1995;OVA;['Comedy', 'Drama', 'Sci-Fi'];2245;59;images\1187.png
;Momoiro Sisters;25/8/1998;5/10/1998;TV_SHORT;['Comedy', 'Slice of Life'];708;51;images\1188.png
;Eden's Bowy;6/4/1999;24/9/1999;TV;['Adventure', 'Romance'];1019;55;images\1189.png
Prince of Tennis: A Day of the Survival Mountain;Tennis no Ouji-sama: Sonzoku Yama no Hi;None/None/2003;None/None/2003;OVA;['Adventure', 'Comedy', 'Sports'];1906;67;images\1190.png
;Saber Marionette J Again;25/11/1997;25/6/1998;OVA;['Action', 'Comedy', 'Romance', 'Sci-Fi'];1813;66;images\1191.png
Kakurenbo: Hide and Seek;Kakurenbo;1/9/2004;1/9/2004;MOVIE;['Horror', 'Psychological', 'Supernatural'];6116;59;images\1192.png
;Happy Seven: The TV Manga;2/10/2005;25/12/2005;TV;['Comedy', 'Fantasy'];923;51;images\1193.png
Coyote Ragtime Show;Coyote Ragtime Show;4/7/2006;19/9/2006;TV;['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi'];3117;61;images\1194.png
The Familiar of Zero;Zero no Tsukaima;3/7/2006;25/9/2006;TV;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Romance'];110997;67;images\1195.png
;Gyagu Manga Biyori;7/2/2005;25/4/2005;TV_SHORT;['Comedy'];2085;64;images\1196.png
;Tsuyokiss;2/7/2006;17/9/2006;TV;['Comedy', 'Romance', 'Slice of Life'];2903;58;images\1198.png
;Nintama Rantarou;10/4/1993;None/None/None;TV;['Comedy'];1548;64;images\1199.png
;MUSASHI: GUN-dou;9/4/2006;8/10/2006;TV;['Adventure', 'Fantasy'];1665;41;images\1200.png
;Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo;22/3/2006;22/3/2006;OVA;['Action', 'Adventure', 'Fantasy', 'Sci-Fi'];2141;54;images\1202.png
;NITABOH: Tsugaru Shamisen Shiso Gaibun;21/2/2004;21/2/2004;MOVIE;['Drama', 'Music'];2183;66;images\1203.png
Glassy Ocean;Kujira no Chouyaku;14/11/1998;14/11/1998;OVA;['Drama', 'Fantasy'];2878;62;images\1204.png
;Aru Tabibito no Nikki;19/3/2003;4/6/2003;ONA;['Adventure', 'Fantasy'];5723;65;images\1205.png
Spring and Chaos;Ihatov Gensou: Kenji no Haru;14/12/1996;14/12/1996;SPECIAL;['Drama', 'Sci-Fi', 'Slice of Life'];2612;66;images\1206.png
The Star of Cottonland;Wata no Kuni Hoshi;11/2/1984;11/2/1984;MOVIE;['Adventure', 'Drama', 'Fantasy'];2218;63;images\1207.png
Nasu: Summer in Andalusia;Nasu: Andalusia no Natsu;26/7/2003;26/7/2003;MOVIE;['Sports'];2831;66;images\1209.png
Welcome to the N-H-K;NHK ni Youkoso!;10/7/2006;18/12/2006;TV;['Comedy', 'Drama', 'Psychological', 'Romance', 'Slice of Life'];130014;82;images\1210.png
;Macross Plus Movie Edition;7/10/1995;7/10/1995;MOVIE;['Action', 'Adventure', 'Mecha', 'Music', 'Romance', 'Sci-Fi'];3659;73;images\1211.png
;Oban Star-Racers;12/4/2006;6/12/2006;TV;['Adventure', 'Mecha', 'Sci-Fi'];7979;71;images\1212.png
;Binbou Shimai Monogatari;30/6/2006;15/9/2006;TV;['Comedy', 'Drama', 'Slice of Life'];4131;63;images\1214.png
Mobile Suit Gundam Seed C.E.73: Stargazer;Kidou Senshi Gundam SEED C.E.73: Stargazer;14/7/2006;29/9/2006;ONA;['Mecha', 'Sci-Fi'];3752;66;images\1215.png
I Shall Never Return;Boku wa Konomama Kaeranai;21/6/1994;21/6/1994;OVA;['Drama', 'Romance'];1272;44;images\1216.png
;Seikimatsu★Darling;16/2/1996;16/2/1996;OVA;['Comedy', 'Drama', 'Romance'];1135;55;images\1217.png
;Tonagura!;9/7/2006;1/10/2006;TV;['Comedy', 'Drama', 'Ecchi', 'Romance'];6242;61;images\1218.png
;Chocotto Sister;12/7/2006;20/12/2006;TV;['Comedy', 'Drama', 'Romance'];3216;62;images\1219.png
Hoshizora Kiseki;Hoshizora Kiseki;21/7/2006;21/7/2006;ONA;['Romance', 'Sci-Fi'];2252;52;images\1220.png
Powerpuff Girls Z;Demashitaa! Powerpuff Girls Z;1/7/2006;30/6/2007;TV;['Action', 'Comedy', 'Mahou Shoujo', 'Sci-Fi'];7342;61;images\1221.png
We Were There;Bokura ga Ita;4/7/2006;26/12/2006;TV;['Drama', 'Romance', 'Slice of Life'];28958;67;images\1222.png
;Ame to Shoujo to Watashi no Tegami;14/2/2005;14/2/2005;ONA;['Drama'];1625;52;images\1223.png
Aquarian Age - Sign for Evolution;Aquarian Age: Sign for Evolution;11/1/2002;29/3/2002;TV;['Action', 'Adventure', 'Fantasy', 'Music', 'Romance', 'Sci-Fi'];1720;54;images\1224.png
3x3 Eyes: Legend of the Divine Demon;3x3 EYES Seima Densetsu;25/7/1995;25/6/1996;OVA;['Action', 'Adventure', 'Fantasy', 'Horror', 'Romance'];2296;64;images\1225.png
Angel Links;Seihou Tenshi Angel Links;7/4/1999;30/6/1999;TV;['Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi'];1926;54;images\1226.png
Sorcerer on the Rocks;Chivas 1-2-3;21/8/1999;21/9/1999;OVA;['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Supernatural'];759;50;images\1228.png
;Innocent Venus;27/7/2006;26/10/2006;TV;['Adventure', 'Drama', 'Mecha', 'Sci-Fi'];3446;61;images\1230.png
;Saber Marionette J to X;6/10/1998;30/3/1999;TV;['Action', 'Adventure', 'Comedy', 'Sci-Fi'];2004;67;images\1231.png
;Saber Marionette R;24/5/1995;25/9/1995;OVA;['Action', 'Comedy', 'Sci-Fi'];1487;59;images\1232.png
